"Metabolite","Diabetes","Mean","SD","N","SE"
"Phenylalanine","Non-diabetic",0.00311875741379311,0.930064285632273,58,0.1221234236766
"Phenylalanine","Diabetic",0.0388394158367347,1.14463384865931,98,0.11562547948038
"Pipecolate","Non-diabetic",-0.226873468275862,1.06937925425195,58,0.140416375250014
"Pipecolate","Diabetic",0.148386758489796,0.839661353401713,98,0.0848186052700894
"Proline","Non-diabetic",0.114612013155172,0.878824075575007,58,0.115395254474997
"Proline","Diabetic",0.23705704644898,0.91348342564205,98,0.0922757606818587
"Propionylcarnitine","Non-diabetic",-0.252494765931034,1.09214107610146,58,0.143405148882461
"Propionylcarnitine","Diabetic",-0.0508659589387755,1.00649406745748,98,0.101671254331888
"Pyridoxal","Non-diabetic",-0.109055944224138,0.99872363308537,58,0.131138837673142
"Pyridoxal","Diabetic",0.0310479927653061,1.12406989945041,98,0.113548206918438
"Pyroglutamine","Non-diabetic",0.439573426672414,1.04907511003855,58,0.137750310501084
"Pyroglutamine","Diabetic",0.0105839458469388,1.01643684815642,98,0.102675626854183
"Pyruvate","Non-diabetic",-0.0578310575172414,0.93618265348826,58,0.122926804734693
"Pyruvate","Diabetic",0.0196774090918367,1.01028442075319,98,0.102054137834529
"Riboflavin","Non-diabetic",0.00445882039655173,1.01023956129683,58,0.132650953127657
"Riboflavin","Diabetic",0.00785517364285714,1.05092537067415,98,0.106159493732097
"Ribonate","Non-diabetic",-0.518087426293103,0.845287623872715,58,0.110991702631197
"Ribonate","Diabetic",0.184517158663265,0.911273950989783,98,0.0920525700376476
"S_adenosylhomocysteine","Non-diabetic",-0.490926819034483,0.891039414746288,58,0.11699920708775
"S_adenosylhomocysteine","Diabetic",0.278021740132653,0.924045170093426,98,0.0933426579851055
"Salicylate","Non-diabetic",0.181925700810345,0.962675840486898,58,0.12640553061457
"Salicylate","Diabetic",-0.0570567194897959,1.01464419386002,98,0.102494541424283
"Serine","Non-diabetic",0.000351398655172411,1.04896554712662,58,0.137735924185944
"Serine","Diabetic",-0.0285937983265306,0.894153275708647,98,0.0903231206676784
"Sorbitol","Non-diabetic",-0.168802874293103,1.00612652527153,58,0.132110885038952
"Sorbitol","Diabetic",-0.163316029591837,0.927668669091291,98,0.093708686658393
"Sphingomyelin_d18_1_20_1","Non-diabetic",0.360142409172414,1.04039493138214,58,0.136610547205125
"Sphingomyelin_d18_1_20_1","Diabetic",-0.256861567877551,0.892045675421957,98,0.0901102208884286
"Sphingomyelin_d18_1_22_1","Non-diabetic",0.518631230482759,0.875974785808842,58,0.115021124399618
"Sphingomyelin_d18_1_22_1","Diabetic",-0.0652258035408163,0.883227943400207,98,0.0892194954445335
